iter	Passed	Remaining
0	158	15698
1	166	8176
2	172	5593
3	180	4325
4	186	3537
5	191	3004
6	197	2627
7	203	2337
8	209	2118
9	215	1939
10	221	1791
11	228	1673
12	234	1568
13	240	1474
14	246	1397
15	252	1325
16	259	1266
17	266	1211
18	271	1157
19	278	1113
20	284	1068
21	290	1031
22	296	994
23	302	958
24	308	926
25	314	896
26	320	867
27	327	842
28	333	817
29	340	793
30	347	772
31	352	749
32	359	729
33	365	710
34	373	693
35	379	673
36	385	656
37	392	640
38	398	622
39	408	612
40	418	601
41	430	593
42	439	583
43	456	580
44	467	571
45	477	560
46	489	551
47	496	538
48	503	524
49	510	510
50	519	499
51	527	487
52	536	475
53	553	471
54	560	458
55	569	447
56	575	434
57	583	422
58	589	409
59	596	397
60	604	386
61	611	374
62	618	363
63	627	353
64	642	345
65	650	335
66	656	323
67	663	312
68	670	301
69	676	290
70	684	279
71	690	268
72	700	259
73	707	248
74	717	239
75	725	229
76	736	219
77	748	210
78	758	201
79	772	193
80	782	183
81	791	173
82	801	164
83	810	154
84	818	144
85	827	134
86	835	124
87	845	115
88	854	105
89	866	96
90	877	86
91	888	77
92	907	68
93	919	58
94	931	49
95	943	39
96	960	29
97	970	19
98	981	9
99	990	0
